id,movie_id,actor_id
1230,458,111
,,
1231,458,579
,,
1232,459,254
,,
1233,459,67
,,
1234,460,211
,,
1235,460,14
,,
1236,460,453
,,
1237,461,262
,,
1238,461,199
,,
1239,461,476
,,
1240,462,352
,,
1241,462,225
,,
1242,462,222
,,
1243,463,218
,,
1244,463,535
,,
1245,464,254
,,
1246,464,28
,,
1247,465,220
,,
1248,465,534
,,
1249,465,460
,,
1250,466,211
,,
1251,466,136
,,
1252,467,518
,,
1253,468,430
,,
1254,468,456
,,
1255,468,323
,,
1256,469,491
,,
1257,469,232
,,
1258,469,459
,,
1259,470,89
,,
1260,470,431
,,
1261,470,97
,,
1262,471,200
,,
1263,471,358
,,
1264,471,369
,,
1265,472,442
,,
1266,472,443
,,
1267,472,142
,,
1268,473,609
,,
1269,473,360
,,
1270,473,397
,,
1271,474,207
,,
1272,474,554
,,
1273,474,167
,,
1274,475,200
,,
1275,475,13
,,
1276,476,511
,,
1277,476,228
,,
1278,477,172
,,
1279,477,304
,,
1280,477,269
,,
1281,478,168
,,
1282,478,148
,,
1283,478,265
,,
1284,479,518
,,
1285,479,143
,,
1286,480,592
,,
1287,480,21
,,
1288,481,396
,,
1289,481,82
,,
1290,481,603
,,
1291,482,117
,,
1292,482,234
,,
1293,483,582
,,
1294,483,337
,,
1295,484,444
,,
1296,484,375
,,
1297,484,142
,,
1298,485,595
,,
1299,485,403
,,
1300,485,336
,,
1301,486,111
,,
1302,486,298
,,
1303,486,526
,,
1304,487,437
,,
1305,487,61
,,
1306,487,599
,,
1307,488,111
,,
1308,488,430
,,
1309,488,533
,,
1310,489,264
,,
1311,489,444
,,
1312,489,436
,,
1313,490,143
,,
1314,490,416
,,
1315,490,21
,,
1316,491,545
,,
1317,491,82
,,
1318,491,570
,,
1319,492,241
,,
1320,492,381
,,
1321,493,475
,,
1322,493,264
,,
1323,493,514
,,
1324,494,570
,,
1325,494,234
,,
1326,494,224
,,
1327,495,3
,,
1328,495,252
,,
1329,495,194
,,
1330,496,603
,,
1331,496,234
,,
1332,496,452
,,
1333,497,186
,,
1334,497,404
,,
1335,497,387
,,
1336,498,461
,,
1337,498,292
,,
1338,499,537
,,
1339,499,291
,,
1340,499,294
,,
1341,500,592
,,
1342,500,384
